runId,mode,seed,inflowRate,intelligenceCost,sensingNoise,maxAgents,lookDist,burnIn,measureTicks,maxTicks,tailTicks,survivedTicks,event,max_agentCount,sigmaProxyCumEnd,sigmaProxyDiffCumEnd,sigmaProxyActCumEnd,outflowPhysCum,outflowNumCum,outflowActCum,actHeatMaintCum,actHeatInfoCum,actHeatDivCum,totalUptakeCum,infoCostCum,maintenanceCostCum,divisionCostCum,efficiencyEnd,birthsCum,deathsCum,netCum,meanAbsEnergyResidual,measuredTicks,mean_agentCount_window,mean_sigmaProxyTotal_window,mean_uptake_window,mean_infoCost_window,mean_maintenance_window,mean_divisionCost_window,mean_efficiency_window,mean_births_window,mean_deaths_window,mean_net_window,tailTicksUsed,mean_uptake_tail,mean_infoCost_tail,mean_maintenance_tail,mean_divisionCost_tail,mean_efficiency_tail,mean_births_tail,mean_deaths_tail,mean_net_tail
25,random,1012,0.085,0.200000,0,1000,3,100,300,3000,30,1643,1,10,314.971234,7.751234,307.220000,0.000000,0.000000,307.220000,307.220000,0.000000,0.000000,7.094766,0.000000,307.220000,0.000000,0.023093,0.000000,10.000000,-10.000000,0.000076215109,300,10.000000,0.203851,0.002147,0.000000,0.200000,0.000000,0.010736,0.000000,0.000000,0.000000,30,0.000858,0.000000,0.020000,0.000000,0.042897,0.000000,0.033333,-0.033333
26,informed,1012,0.085,0.200000,0,1000,3,100,300,3000,30,1502,1,10,313.627214,1.150511,312.476703,0.000000,0.000000,312.476703,257.160000,55.316703,0.000000,12.348150,55.316703,257.160000,0.000000,0.039517,0.000000,10.000000,-10.000000,0.000085537826,300,10.000000,0.247716,0.008276,0.044358,0.200000,0.000000,0.033871,0.000000,0.000000,0.000000,30,0.008416,0.004031,0.020000,0.000000,0.350230,0.000000,0.033333,-0.033333
27,random,1013,0.085,0.200000,0,1000,3,100,300,3000,30,1628,1,10,315.641496,7.581496,308.060000,0.000000,0.000000,308.060000,308.060000,0.000000,0.000000,7.943994,0.000000,308.060000,0.000000,0.025787,0.000000,10.000000,-10.000000,0.000071251489,300,10.000000,0.203873,0.003114,0.000000,0.200000,0.000000,0.015571,0.000000,0.000000,0.000000,30,0.009341,0.000000,0.040000,0.000000,0.234704,0.000000,0.100000,-0.100000
28,informed,1013,0.085,0.200000,0,1000,3,100,300,3000,30,1767,1,10,315.896423,1.534309,314.362114,0.000000,0.000000,314.362114,258.160000,56.202114,0.000000,14.280720,56.202114,258.160000,0.000000,0.045428,0.000000,10.000000,-10.000000,0.000046046906,300,10.000000,0.248964,0.003191,0.045011,0.200000,0.000000,0.012961,0.000000,0.000000,0.000000,30,0.008455,0.004046,0.020000,0.000000,0.351613,0.000000,0.033333,-0.033333
29,random,1014,0.085,0.200000,0,1000,3,100,300,3000,30,1740,1,10,313.994688,8.354688,305.640000,0.000000,0.000000,305.640000,305.640000,0.000000,0.000000,5.548971,0.000000,305.640000,0.000000,0.018155,0.000000,10.000000,-10.000000,0.000052325248,300,10.000000,0.203817,0.001329,0.000000,0.200000,0.000000,0.006644,0.000000,0.000000,0.000000,30,0.002637,0.000000,0.020000,0.000000,0.131842,0.000000,0.033333,-0.033333
30,informed,1014,0.085,0.200000,0,1000,3,100,300,3000,30,1647,1,10,314.375251,0.577283,313.797968,0.000000,0.000000,313.797968,260.500000,53.297968,0.000000,13.668157,53.297968,260.500000,0.000000,0.043557,0.000000,10.000000,-10.000000,0.000078772093,300,10.000000,0.243384,0.009528,0.041898,0.200000,0.000000,0.039407,0.000000,0.000000,0.000000,30,0.008431,0.004006,0.020000,0.000000,0.351201,0.000000,0.033333,-0.033333
31,random,1015,0.085,0.200000,0,1000,3,100,300,3000,30,1611,1,10,311.227214,8.127214,303.100000,0.000000,0.000000,303.100000,303.100000,0.000000,0.000000,2.985667,0.000000,303.100000,0.000000,0.009850,0.000000,10.000000,-10.000000,0.000070972523,300,10.000000,0.203781,0.000220,0.000000,0.200000,0.000000,0.001100,0.000000,0.000000,0.000000,30,0.002942,0.000000,0.020000,0.000000,0.147078,0.000000,0.033333,-0.033333
32,informed,1015,0.085,0.200000,0,1000,3,100,300,3000,30,1722,1,10,315.079219,1.630196,313.449023,0.000000,0.000000,313.449023,257.000000,56.449023,0.000000,13.302445,56.449023,257.000000,0.000000,0.042439,0.000000,10.000000,-10.000000,0.000085084407,300,10.000000,0.248792,0.004426,0.044915,0.200000,0.000000,0.018035,0.000000,0.000000,0.000000,30,0.009145,0.004023,0.020000,0.000000,0.380679,0.000000,0.033333,-0.033333
33,random,1016,0.085,0.200000,0,1000,3,100,300,3000,30,1607,1,10,311.314828,8.194828,303.120000,0.000000,0.000000,303.120000,303.120000,0.000000,0.000000,3.023164,0.000000,303.120000,0.000000,0.009973,0.000000,10.000000,-10.000000,0.000060267244,300,10.000000,0.203782,0.000160,0.000000,0.200000,0.000000,0.000798,0.000000,0.000000,0.000000,30,0.003641,0.000000,0.020000,0.000000,0.182030,0.000000,0.033333,-0.033333
34,informed,1016,0.085,0.200000,0,1000,3,100,300,3000,30,1785,1,10,315.705596,1.243503,314.462092,0.000000,0.000000,314.462092,259.080000,55.382092,0.000000,14.370652,55.382092,259.080000,0.000000,0.045699,0.000000,10.000000,-10.000000,0.000051206750,300,10.000000,0.247723,0.006357,0.044255,0.200000,0.000000,0.026018,0.000000,0.000000,0.000000,30,0.008572,0.004056,0.020000,0.000000,0.356327,0.000000,0.033333,-0.033333
